index	token	frequency
0	<unk>	0
1	the	7303
2	rock	25
3	is	2561
4	destined	4
5	to	3021
6	be	670
7	21st	5
8	century	12
9	's	2544
10	new	151
11	``	266
12	conan	2
13	''	266
14	and	4473
15	that	1954
16	he	218
17	going	58
18	make	195
19	a	5281
20	splash	3
21	even	257
22	greater	4
23	than	474
24	arnold	8
25	schwarzenegger	5
26	,	7131
27	jean-claud	1
28	van	9
29	damme	2
30	or	375
31	steven	18
32	segal	1
33	.	8024
34	gorgeously	5
35	elaborate	8
36	continuation	2
37	of	4396
38	lord	4
39	rings	6
40	trilogy	2
41	so	391
42	huge	17
43	column	2
44	words	22
45	can	260
46	not	598
47	adequately	4
48	describe	7
49	co-writer\/director	2
50	peter	15
51	jackson	18
52	expanded	2
53	vision	24
54	j.r.r.	1
55	tolkien	2
56	middle-earth	1
57	singer\/composer	1
58	bryan	2
59	adams	7
60	contributes	1
61	slew	1
62	songs	10
63	--	513
64	few	99
65	potential	20
66	hits	12
67	more	518
68	simply	55
69	intrusive	1
70	story	352
71	but	1172
72	whole	53
73	package	4
74	certainly	46
75	captures	24
76	intended	15
77	er	3
78	spirit	35
79	piece	59
80	you	857
81	'd	47
82	think	65
83	by	554
84	now	41
85	america	21
86	would	190
87	have	461
88	had	83
89	enough	179
90	plucky	1
91	british	17
92	eccentrics	2
93	with	1139
94	hearts	10
95	gold	2
96	yet	96
97	act	26
98	still	120
99	charming	41
100	here	111
101	whether	36
102	're	122
103	enlightened	1
104	any	173
105	derrida	4
106	lectures	2
107	on	648
108	other	127
109	self	2
110	an	972
111	undeniably	10
112	fascinating	61
113	playful	11
114	fellow	6
115	just	293
116	labour	2
117	involved	16
118	in	1888
119	creating	11
120	layered	4
121	richness	3
122	imagery	10
123	this	998
124	chiaroscuro	1
125	madness	7
126	light	36
127	astonishing	7
128	part	54
129	charm	42
130	satin	3
131	rouge	5
132	it	2422
133	avoids	5
134	obvious	39
135	humour	10
136	lightness	3
137	screenplay	54
138	ingeniously	1
139	constructed	10
140	memento	3
141	extreme	18
142	ops	3
143	exceeds	2
144	expectations	8
145	good	264
146	fun	105
147	action	124
148	acting	78
149	dialogue	73
150	pace	20
151	cinematography	13
152	should	133
153	pay	15
154	nine	2
155	bucks	5
156	for	1023
157	:	149
158	because	99
159	hear	7
160	about	537
161	suffering	8
162	afghan	2
163	refugees	4
164	news	9
165	unaffected	2
166	dramas	5
167	like	503
168	human	72
169	thunderous	1
170	ride	33
171	at	501
172	first	107
173	quiet	24
174	cadences	1
175	pure	22
176	finesse	3
177	are	514
178	far	92
179	between	103
180	;	98
181	their	218
182	shortage	1
183	dilutes	2
184	potency	3
185	otherwise	29
186	respectable	8
187	flick	53
188	host	3
189	some	236
190	truly	34
191	excellent	24
192	sequences	26
193	australian	3
194	actor\/director	1
195	john	40
196	polson	1
197	award-winning	1
198	english	8
199	cinematographer	2
200	giles	1
201	nuttgens	1
202	terrific	31
203	effort	42
204	disguising	2
205	energy	43
206	innovation	3
207	walk	9
208	out	303
209	girl	31
210	mixed	11
211	emotions	24
212	disapproval	1
213	justine	1
214	combined	6
215	tinge	1
216	understanding	9
217	her	136
218	actions	4
219	post	4
220	9\/11	2
221	philosophical	13
222	message	36
223	personal	30
224	freedom	5
225	might	113
226	as	1296
227	palatable	3
228	absorbing	15
229	character	109
230	study	44
231	andré	1
232	turpin	2
233	if	388
234	love	172
235	reading	10
236	and\/or	4
237	poetry	17
238	then	75
239	all	464
240	means	16
241	check	10
242	'll	86
243	probably	50
244	frailty	8
245	has	529
246	been	185
247	written	27
248	well	142
249	simple	24
250	goddammit	1
251	!	91
252	near	12
253	end	90
254	takes	65
255	meaning	11
256	grenier	1
257	bringing	7
258	unforced	6
259	rapid-fire	2
260	delivery	13
261	toback	6
262	heidegger	1
263	-	123
264	nietzsche-referencing	1
265	sundance	4
266	film	1162
267	festival	16
268	become	37
269	buzz-obsessed	1
270	fans	55
271	producers	4
272	descend	1
273	upon	22
274	utah	1
275	each	45
276	january	2
277	ferret	1
278	next	37
279	great	114
280	thing	96
281	`	256
282	tadpole	4
283	'	409
284	was	169
285	one	555
286	films	126
287	declared	1
288	year	73
289	really	141
290	pretty	57
291	actors	75
292	fantastic	13
293	they	197
294	what	339
295	makes	174
296	worth	78
297	trip	15
298	theatre	10
299	-lrb-	356
300	taymor	4
301	-rrb-	356
302	utilizes	1
303	idea	49
304	making	68
305	kahlo	5
306	art	52
307	living	15
308	breathing	1
309	movie	976
310	often	102
311	catapulting	1
312	artist	23
313	into	301
314	own	132
315	work	178
316	n't	682
317	done	47
318	before	82
319	never	198
320	vividly	13
321	much	265
322	passion	30
323	take	83
324	care	51
325	my	83
326	cat	6
327	honestly	9
328	nice	22
329	little	214
330	us	168
331	examination	21
332	young	69
333	adult	11
334	life	162
335	urban	18
336	south	12
337	korea	5
338	through	146
339	minds	6
340	five	18
341	principals	2
342	life-affirming	7
343	its	944
344	vulgar	11
345	mean	18
346	i	423
347	liked	17
348	empire	7
349	lacks	42
350	depth	19
351	up	282
352	heart	82
353	silly	49
354	photographed	8
355	colour	2
356	rather	87
357	time	231
358	tongue-in-cheek	4
359	preposterousness	1
360	always	50
361	most	291
362	wilde	8
363	droll	5
364	whimsy	6
365	helps	8
366	being	121
367	earnest	30
368	overcome	15
369	weaknesses	3
370	parker	13
371	creative	22
372	interference	1
373	...	643
374	lies	9
375	utter	8
376	cuteness	4
377	stuart	8
378	margolo	1
379	computer-animated	1
380	faces	4
381	very	192
382	expressive	4
383	path	8
384	ice	15
385	age	22
386	follows	9
387	closely	7
388	though	110
389	established	4
390	warner	4
391	bros.	3
392	giant	9
393	chuck	2
394	jones	12
395	who	320
396	died	2
397	matter	57
398	weeks	7
399	release	14
400	spiced	3
401	humor	103
402	speak	5
403	fluent	2
404	flatula	1
405	advises	1
406	denlopp	1
407	after	92
408	bubbly	1
409	exchange	2
410	alien	4
411	deckhand	1
412	witty	21
413	updatings	1
414	silver	7
415	parrot	1
416	replaced	7
417	morph	2
418	cute	15
419	creature	4
420	mimics	1
421	everyone	38
422	everything	52
423	around	49
424	there	327
425	y	2
426	tu	2
427	mamá	2
428	también	2
429	comes	90
430	from	485
431	brave	3
432	uninhibited	1
433	performances	124
434	lead	22
435	13	6
436	conversations	8
437	holds	15
438	goodwill	3
439	close	26
440	relatively	11
441	slow	30
442	come	76
443	point	58
444	auto	5
445	focus	12
446	works	71
447	unusual	12
448	biopic	7
449	document	13
450	male	11
451	swingers	1
452	playboy	1
453	era	19
454	mr.	51
455	zhang	5
456	subject	64
457	degree	11
458	least	65
459	quintessentially	1
460	american	75
461	his	439
462	approach	22
463	storytelling	37
464	called	17
465	iranian	9
466	sour	8
467	core	15
468	exploration	13
469	emptiness	4
470	underlay	1
471	relentless	4
472	gaiety	1
473	1920	2
474	ending	42
475	?	155
476	feeling	40
477	deal	16
478	cremaster	3
479	3	6
480	warning	8
481	serious	35
482	buffs	6
483	only	217
484	made	149
485	me	81
486	unintentionally	9
487	famous	6
488	queasy-stomached	1
489	critic	1
490	staggered	1
491	theater	39
492	blacked	1
493	lobby	2
494	believe	37
495	beautiful	44
496	evocative	8
497	've	88
498	seen	81
499	garcía	1
500	bernal	1
501	talancón	1
502	immensely	5
503	appealing	23
504	couple	19
505	predictable	48
506	want	68
507	things	82
508	spoof	8
509	comedy	251
510	carries	11
511	share	17
512	laughs	49
513	sometimes	62
514	chuckle	4
515	guffaw	1
516	pleasure	30
517	occasional	6
518	belly	8
519	laugh	28
520	city	23
521	reminds	10
522	how	147
523	realistically	3
524	nuanced	7
525	robert	22
526	de	37
527	niro	14
528	performance	104
529	when	166
530	lucratively	1
531	engaged	8
532	shameless	3
533	self-caricature	1
534	analyze	11
535	1999	2
536	promised	2
537	threatened	1
538	later	6
539	wanton	1
540	slipperiness	1
541	\*	4
542	corpus	1
543	amiable	5
544	jerking	2
545	reshaping	1
546	physical	6
547	space	13
548	watch	78
549	kids	63
550	use	21
551	introduce	2
552	video	42
553	starts	26
554	typical	16
555	bible	3
556	killer	14
557	turns	40
558	significantly	3
559	different	28
560	better	129
561	theme	13
562	those	130
563	pride	3
564	themselves	26
565	sophisticated	17
566	discerning	1
567	taste	24
568	seem	70
569	proper	5
570	cup	3
571	tea	3
572	however	21
573	almost	92
574	guaranteed	4
575	stuffiest	1
576	cinema	67
577	goers	1
578	will	267
579	\*\*\*	4
580	off	115
581	hour-and-a-half	3
582	cuts	6
583	actually	57
584	face	40
585	your	197
586	fears	14
587	world	99
588	boys	16
589	boy	30
590	big	107
591	metaphorical	4
592	wave	7
593	wherever	2
594	welcome	22
595	relief	5
596	baseball	1
597	movies	160
598	try	25
599	too	317
600	hard	89
601	mythic	4
602	sweet	56
603	modest	11
604	ultimately	83
605	winning	19
606	crisp	8
607	psychological	25
608	drama	139
609	thriller	92
610	perfect	30
611	old	76
612	twilight	1
613	zone	12
614	episode	19
615	moments	85
616	insightful	16
617	fondly	2
618	remembered	6
619	endlessly	6
620	challenging	13
621	maze	2
622	moviegoing	4
623	opening	12
624	contrived	32
625	banter	5
626	cliches	27
627	loose	7
628	ends	30
629	second	20
630	half	40
631	uncluttered	1
632	resonant	9
633	gem	11
634	relays	1
635	universal	14
636	points	18
637	without	131
638	confrontations	2
639	cockettes	3
640	provides	21
641	window	7
642	subculture	6
643	hell-bent	1
644	expressing	2
645	itself	79
646	every	127
647	way	201
648	imaginable	3
649	smart	44
650	steamy	2
651	mix	16
652	road	21
653	coming-of-age	28
654	political	33
655	satire	29
656	modern-day	4
657	royals	1
658	nothing	125
659	these	90
660	guys	28
661	scandals	1
662	fairy	6
663	tales	7
664	princesses	1
665	married	2
666	reason	37
667	live	30
668	happily	4
669	ever	105
670	b	12
671	fact	36
672	best	162
673	recent	32
674	memory	17
675	birthday	9
676	actor	32
677	foremost	3
678	walked	6
679	away	57
680	version	41
681	e.t.	7
682	hoped	6
683	moist	1
684	eyes	25
685	devotees	3
686	french	40
687	safe	8
688	conduct	7
689	rich	32
690	period	24
691	minutiae	1
692	dying	8
693	celluloid	5
694	heaven	18
695	characters	236
696	resemblance	2
697	everyday	6
698	children	48
699	shamelessly	6
700	resorting	3
701	pee-related	1
702	sight	13
703	gags	31
704	cause	12
705	tom	17
706	green	15
707	grimace	1
708	myer	1
709	silliness	8
710	eventually	17
711	prevail	1
712	absurdist	3
713	spider	3
714	web	6
715	happy	17
716	listening	2
717	watching	80
718	them	115
719	parade	6
720	fascinates	1
721	right	75
722	moves	9
723	beyond	35
724	original	78
725	nostalgia	10
726	communal	4
727	experiences	12
728	yesteryear	1
729	deeper	13
730	realization	3
731	inability	2
732	stand	21
733	true	51
734	lived	9
735	experience	55
736	blend	10
737	together	60
738	distant	4
739	memories	8
740	mention	12
741	solaris	5
742	years	66
743	'm	39
744	sure	40
745	saw	22
746	opinion	4
747	allen	21
748	funniest	12
749	likeable	3
750	glorious	5
751	spectacle	15
752	d.w.	1
753	griffith	1
754	early	11
755	days	27
756	silent	5
757	comic	56
758	delightful	22
759	derivative	17
760	timely	10
761	director	178
762	could	157
763	dreamed	2
764	quietly	16
765	lyrical	8
766	tale	88
767	probes	2
768	ambiguous	5
769	extended	7
770	iran	2
771	afghani	1
772	streamed	1
773	across	20
774	borders	4
775	desperate	9
776	food	9
777	leaping	3
778	line	34
779	shaped	4
780	kosminsky	4
781	sharp	21
782	slivers	1
783	cutting	7
784	impressions	3
785	shows	36
786	signs	13
787	detail	13
788	condensed	3
789	images	32
790	striking	12
791	traits	1
792	three	46
793	principal	2
794	singers	1
795	youthful	4
796	good-looking	3
797	diva	2
798	tenor	3
799	richly	8
800	handsome	9
801	locations	6
802	wish	17
803	jacquot	5
804	left	35
805	alone	18
806	filmed	13
807	opera	35
808	distortions	1
809	perspective	13
810	production	30
811	enormous	4
812	amount	19
813	affection	11
814	we	185
815	worthwhile	15
816	winds	9
817	both	118
818	revelatory	8
819	narcissistic	1
820	achieving	2
821	honest	29
822	insight	18
823	relationships	22
824	high-concept	3
825	candy-coat	1
826	pat	8
827	storylines	4
828	precious	9
829	circumstances	3
830	stars	16
