index	token	frequency
0	<unk>	0
1	the	7303
2	rock	25
3	is	2561
4	to	3021
5	be	670
6	21st	5
7	century	12
8	's	2544
9	new	151
10	``	266
11	''	266
12	and	4473
13	that	1954
14	he	218
15	going	58
16	make	195
17	a	5281
18	even	257
19	than	474
20	arnold	8
21	schwarzenegger	5
22	,	7131
23	van	9
24	or	375
25	steven	18
26	.	8024
27	gorgeously	5
28	elaborate	8
29	of	4396
30	rings	6
31	so	391
32	huge	17
33	words	22
34	can	260
35	not	598
36	describe	7
37	peter	15
38	jackson	18
39	vision	24
40	adams	7
41	songs	10
42	--	513
43	few	99
44	potential	20
45	hits	12
46	more	518
47	simply	55
48	story	352
49	but	1172
50	whole	53
51	certainly	46
52	captures	24
53	intended	15
54	spirit	35
55	piece	59
56	you	857
57	'd	47
58	think	65
59	by	554
60	now	41
61	america	21
62	would	190
63	have	461
64	had	83
65	enough	179
66	british	17
67	with	1139
68	hearts	10
69	yet	96
70	act	26
71	still	120
72	charming	41
73	here	111
74	whether	36
75	're	122
76	any	173
77	on	648
78	other	127
79	an	972
80	undeniably	10
81	fascinating	61
82	playful	11
83	fellow	6
84	just	293
85	involved	16
86	in	1888
87	creating	11
88	imagery	10
89	this	998
90	madness	7
91	light	36
92	astonishing	7
93	part	54
94	charm	42
95	rouge	5
96	it	2422
97	avoids	5
98	obvious	39
99	humour	10
100	screenplay	54
101	constructed	10
102	extreme	18
103	expectations	8
104	good	264
105	fun	105
106	action	124
107	acting	78
108	dialogue	73
109	pace	20
110	cinematography	13
111	should	133
112	pay	15
113	bucks	5
114	for	1023
115	:	149
116	because	99
117	hear	7
118	about	537
119	suffering	8
120	news	9
121	dramas	5
122	like	503
123	human	72
124	ride	33
125	at	501
126	first	107
127	quiet	24
128	pure	22
129	are	514
130	far	92
131	between	103
132	;	98
133	their	218
134	otherwise	29
135	respectable	8
136	flick	53
137	some	236
138	truly	34
139	excellent	24
140	sequences	26
141	john	40
142	english	8
143	terrific	31
144	effort	42
145	energy	43
146	walk	9
147	out	303
148	girl	31
149	mixed	11
150	emotions	24
151	combined	6
152	understanding	9
153	her	136
154	philosophical	13
155	message	36
156	personal	30
157	freedom	5
158	might	113
159	as	1296
160	absorbing	15
161	character	109
162	study	44
163	if	388
164	love	172
165	reading	10
166	poetry	17
167	then	75
168	all	464
169	means	16
170	check	10
171	'll	86
172	probably	50
173	frailty	8
174	has	529
175	been	185
176	written	27
177	well	142
178	simple	24
179	!	91
180	near	12
181	end	90
182	takes	65
183	meaning	11
184	bringing	7
185	unforced	6
186	delivery	13
187	toback	6
188	-	123
189	film	1162
190	festival	16
191	become	37
192	fans	55
193	upon	22
194	each	45
195	next	37
196	great	114
197	thing	96
198	`	256
199	'	409
200	was	169
201	one	555
202	films	126
203	year	73
204	really	141
205	pretty	57
206	actors	75
207	fantastic	13
208	they	197
209	what	339
210	makes	174
211	worth	78
212	trip	15
213	theatre	10
214	-lrb-	356
215	-rrb-	356
216	idea	49
217	making	68
218	kahlo	5
219	art	52
220	living	15
221	movie	976
222	often	102
223	artist	23
224	into	301
225	own	132
226	work	178
227	n't	682
228	done	47
229	before	82
230	never	198
231	vividly	13
232	much	265
233	passion	30
234	take	83
235	care	51
236	my	83
237	cat	6
238	honestly	9
239	nice	22
240	little	214
241	us	168
242	examination	21
243	young	69
244	adult	11
245	life	162
246	urban	18
247	south	12
248	korea	5
249	through	146
250	minds	6
251	five	18
252	life-affirming	7
253	its	944
254	vulgar	11
255	mean	18
256	i	423
257	liked	17
258	empire	7
259	lacks	42
260	depth	19
261	up	282
262	heart	82
263	silly	49
264	photographed	8
265	rather	87
266	time	231
267	always	50
268	most	291
269	wilde	8
270	droll	5
271	whimsy	6
272	helps	8
273	being	121
274	earnest	30
275	overcome	15
276	parker	13
277	creative	22
278	...	643
279	lies	9
280	utter	8
281	stuart	8
282	very	192
283	path	8
284	ice	15
285	age	22
286	follows	9
287	closely	7
288	though	110
289	giant	9
290	jones	12
291	who	320
292	matter	57
293	weeks	7
294	release	14
295	humor	103
296	speak	5
297	after	92
298	witty	21
299	silver	7
300	replaced	7
301	cute	15
302	everyone	38
303	everything	52
304	around	49
305	there	327
306	comes	90
307	from	485
308	performances	124
309	lead	22
310	13	6
311	conversations	8
312	holds	15
313	close	26
314	relatively	11
315	slow	30
316	come	76
317	point	58
318	auto	5
319	focus	12
320	works	71
321	unusual	12
322	biopic	7
323	document	13
324	male	11
325	era	19
326	mr.	51
327	zhang	5
328	subject	64
329	degree	11
330	least	65
331	american	75
332	his	439
333	approach	22
334	storytelling	37
335	called	17
336	iranian	9
337	sour	8
338	core	15
339	exploration	13
340	ending	42
341	?	155
342	feeling	40
343	deal	16
344	3	6
345	warning	8
346	serious	35
347	buffs	6
348	only	217
349	made	149
350	me	81
351	unintentionally	9
352	famous	6
353	theater	39
354	believe	37
355	beautiful	44
356	evocative	8
357	've	88
358	seen	81
359	immensely	5
360	appealing	23
361	couple	19
362	predictable	48
363	want	68
364	things	82
365	spoof	8
366	comedy	251
367	carries	11
368	share	17
369	laughs	49
370	sometimes	62
371	pleasure	30
372	occasional	6
373	belly	8
374	laugh	28
375	city	23
376	reminds	10
377	how	147
378	nuanced	7
379	robert	22
380	de	37
381	niro	14
382	performance	104
383	when	166
384	engaged	8
385	analyze	11
386	later	6
387	amiable	5
388	physical	6
389	space	13
390	watch	78
391	kids	63
392	use	21
393	video	42
394	starts	26
395	typical	16
396	killer	14
397	turns	40
398	different	28
399	better	129
400	theme	13
401	those	130
402	themselves	26
403	sophisticated	17
404	taste	24
405	seem	70
406	proper	5
407	however	21
408	almost	92
409	cinema	67
410	will	267
411	off	115
412	cuts	6
413	actually	57
414	face	40
415	your	197
416	fears	14
417	world	99
418	boys	16
419	boy	30
420	big	107
421	wave	7
422	welcome	22
423	relief	5
424	movies	160
425	try	25
426	too	317
427	hard	89
428	sweet	56
429	modest	11
430	ultimately	83
431	winning	19
432	crisp	8
433	psychological	25
434	drama	139
435	thriller	92
436	perfect	30
437	old	76
438	zone	12
439	episode	19
440	moments	85
441	insightful	16
442	remembered	6
443	endlessly	6
444	challenging	13
445	opening	12
446	contrived	32
447	banter	5
448	cliches	27
449	loose	7
450	ends	30
451	second	20
452	half	40
453	resonant	9
454	gem	11
455	universal	14
456	points	18
457	without	131
458	provides	21
459	window	7
460	subculture	6
461	itself	79
462	every	127
463	way	201
464	smart	44
465	mix	16
466	road	21
467	coming-of-age	28
468	political	33
469	satire	29
470	nothing	125
471	these	90
472	guys	28
473	fairy	6
474	tales	7
475	reason	37
476	live	30
477	ever	105
478	b	12
479	fact	36
480	best	162
481	recent	32
482	memory	17
483	birthday	9
484	actor	32
485	walked	6
486	away	57
487	version	41
488	e.t.	7
489	hoped	6
490	eyes	25
491	french	40
492	safe	8
493	conduct	7
494	rich	32
495	period	24
496	dying	8
497	celluloid	5
498	heaven	18
499	characters	236
500	everyday	6
501	children	48
502	shamelessly	6
503	sight	13
504	gags	31
505	cause	12
506	tom	17
507	green	15
508	silliness	8
509	eventually	17
510	web	6
511	happy	17
512	watching	80
513	them	115
514	parade	6
515	right	75
516	moves	9
517	beyond	35
518	original	78
519	nostalgia	10
520	experiences	12
521	deeper	13
522	stand	21
523	true	51
524	lived	9
525	experience	55
526	blend	10
527	together	60
528	memories	8
529	mention	12
530	solaris	5
531	years	66
532	'm	39
533	sure	40
534	saw	22
535	allen	21
536	funniest	12
537	glorious	5
538	spectacle	15
539	early	11
540	days	27
541	silent	5
542	comic	56
543	delightful	22
544	derivative	17
545	timely	10
546	director	178
547	could	157
548	quietly	16
549	lyrical	8
550	tale	88
551	ambiguous	5
552	extended	7
553	across	20
554	desperate	9
555	food	9
556	line	34
557	sharp	21
558	cutting	7
559	shows	36
560	signs	13
561	detail	13
562	images	32
563	striking	12
564	three	46
565	richly	8
566	handsome	9
567	locations	6
568	wish	17
569	jacquot	5
570	left	35
571	alone	18
572	filmed	13
573	opera	35
574	perspective	13
575	production	30
576	amount	19
577	affection	11
578	we	185
579	worthwhile	15
580	winds	9
581	both	118
582	revelatory	8
583	honest	29
584	insight	18
585	relationships	22
586	pat	8
587	precious	9
588	stars	16
589	inspiring	11
590	joy	12
591	spielberg	22
592	brings	20
593	another	106
594	masterpiece	19
595	finally	29
596	read	19
597	lips	6
598	understands	6
599	must	33
600	ms.	15
601	bring	24
602	fresh	34
603	moving	57
604	pictures	22
605	today	15
606	solid	37
607	pedigree	5
608	front	10
609	specifically	5
610	behind	22
611	camera	36
612	no	259
613	moved	5
614	edge	17
615	touching	30
616	alike	5
617	go	81
618	see	125
619	unique	17
620	entertaining	93
621	twist	16
622	classic	36
623	whale	5
624	wo	43
625	sorry	5
626	literary	8
627	aficionados	5
628	disappointed	7
629	high	47
630	crimes	14
631	combines	7
632	ca	84
633	help	26
634	engage	6
635	audience	108
636	fan	15
637	series	49
638	twice	13
639	celebrates	7
640	group	11
641	spark	10
642	back	75
643	angels	5
644	ironic	7
645	ridiculous	9
646	record	10
647	industry	13
648	also	115
649	testament	9
650	integrity	7
651	band	12
652	doses	5
653	dark	59
654	gorgeous	23
655	photography	5
656	such	110
657	huppert	7
658	show	55
659	she	67
660	creepy	20
661	turn	34
662	mother	12
663	public	11
664	8	6
665	women	59
666	nair	8
667	does	307
668	treat	15
669	issues	21
670	allows	16
671	problems	20
672	horror	39
673	real	98
674	shocks	7
675	store	6
676	viewers	32
677	filmmaker	36
678	secrets	10
679	buried	5
680	knows	22
681	revealing	9
682	strange	26
683	build	7
684	mind	36
685	viewer	27
686	urgency	6
687	certain	23
688	generates	5
689	fair	10
690	b-movie	12
691	excitement	14
692	familiar	48
693	utterly	18
694	keeps	24
695	delicious	6
696	lurid	5
697	fiction	15
698	aims	8
699	funny	216
700	uplifting	9
701	once	70
702	extent	5
703	which	188
704	succeeds	19
705	impressive	21
706	brilliantly	7
707	shines	5
708	direction	56
709	accomplished	9
710	while	159
711	gross-out	13
712	goes	51
713	long	110
714	toward	15
715	national	12
716	lampoon	5
717	franchise	15
718	broad	8
719	cartoonish	5
720	observation	5
721	frank	11
722	undeniable	7
723	social	34
724	realism	13
725	addition	13
726	hoffman	14
727	powerful	42
728	rare	38
729	offers	56
730	thoughtful	26
731	rewarding	9
732	glimpse	13
733	sort	36
734	felt	21
735	feel	103
736	tambor	5
737	intelligent	36
738	average	15
739	white	17
740	pick	10
741	pieces	19
742	vibrant	10
743	instincts	5
744	difference	9
745	flicks	16
746	mature	8
747	2002	17
748	summer	37
749	season	11
750	speaks	7
751	picture	92
752	people	123
753	possible	24
754	last	60
755	touch	21
756	anyone	59
757	friendship	15
758	provocative	17
759	example	10
760	evil	18
761	emphasizes	6
762	isolation	5
763	color	9
764	subjects	11
765	imagine	27
766	scenario	9
767	where	75
768	using	10
769	side	27
770	damn	8
771	weird	21
772	pass	10
773	crowd	13
774	remarkable	28
775	epic	22
776	startling	7
777	intimacy	6
778	achieves	12
779	despite	72
780	monster	16
781	paid	12
782	matinee	8
783	price	14
784	popcorn	16
785	guilty	14
786	grey	6
787	gives	65
788	voice	12
789	needs	24
790	heard	9
791	sea	15
792	holocaust	9
793	suffers	24
794	others	21
795	urge	6
796	willing	9
797	find	79
798	uses	23
799	technology	7
800	miller	9
801	tells	18
802	compelling	65
803	noise	5
804	tension	17
805	existential	5
806	pretension	8
807	term	6
808	spirits	7
809	mouth	7
810	writer\/director	10
811	payne	6
812	co-writer	7
813	jim	6
814	taylor	6
815	quirky	38
816	ability	18
817	look	126
818	angst	11
819	eye	18
820	laughing	8
821	flaws	22
822	tough	11
823	animated	21
824	feature	45
825	hit	21
826	theaters	8
827	since	56
828	beauty	22
829	beast	7
830	11	5
831	ago	16
832	deeply	35
833	affecting	12
834	merely	23
835	collection	12
836	attention	24
837	pacino	5
838	marvelous	7
839	spooky	10
840	entertainment	53
841	worthy	18
842	ticket	7
843	fanciful	8
844	enjoyable	46
845	adaptation	23
846	themes	20
847	book	36
848	notice	11
849	fairly	26
850	straightforward	8
851	remake	21
852	hollywood	89
853	comedies	23
854	father	12
855	bride	7
856	moonlight	5
857	mile	10
